Player;Pos;90s;Touches;Received passes;Touches per received pass;Progressive passes
Trézéguet;FW;0.1;90;90;;10
Francisco Trincão;FW,MF;10.4;45.38;31.15;1.46;2.21
Kieran Trippier;DF;1;92;36;;8
William Troost-Ekong;DF;15.3;46.01;26.8;1.72;2.03
Leandro Trossard;FW,MF;18;49.33;36.67;1.35;4.22
Kostas Tsimikas;DF;6.4;74.38;43.59;;4.53
Axel Tuanzebe;DF;5.6;46.96;30.71;;1.07
Ozan Tufan;MF;3.7;40;23.24;;2.97
Christos Tzolis;FW,MF;3.4;36.18;27.35;;1.76
Yan Valery;DF;1;35;17;;1
Raphaël Varane;DF;9.3;66.34;43.76;1.52;2.47
Jamie Vardy;FW;14.7;19.8;13.81;1.43;1.43
Joël Veltman;DF;14.2;67.46;37.75;1.79;4.15
Jannik Vestergaard;DF;5.3;67.55;43.21;;2.26
